ENCSENTS	DECSENTS
I won't do that .	you have the power to do it . I want you to do it . please .
I explained this . I can't . that's not the way it happens .	Jon . if you ever loved me -- if there's anything human left in you -- then do it .
what -- am I --	cured , yes .
it ¹ s very strange . time ¹ s flowing backwards . . .	Jon -- what ? ?
Jon , where are we ?	Veidt ¹ s complex .
Jon --	space and time . I finally understand , Laurie . I see it all now .
Jon -- for God ¹ s sake , what do you see ?	I see what the watchmaker made . I see the universe !
hi , Jon .	hello , Adrian .
the bearer of bad news .	we've lost a colleague . the comedian is dead .
"Rorschach's on the case . he's got Dreiberg in a lather . he seems to think that someone is "" stalking "" the Watchmen ."	oh ? the CTU suspects a Libyan hit squad .
what's your theory ?	life and death are unquantifiable abstracts . they don't concern me .
I guess you'll be dismantling Russian tanks soon .	you mean Afghanistan ? it won't require my attention . what I'm doing here is far more interesting .
what ARE YOU DOING , VEIDT ?	Jon ! get back ! you don't understand .
Walter --	don't call me that .
Walter -- you're just telling me what you think I want to hear .	wrong answers ?
there's no right or wrong . but if you don't give me an honest response , I can't help you . I want to help you . I want to know all about you .	Hnnrr . -- Like to masturbate . shit once a day .
a whore fucking .	who is she ? do you know her ?
and what -- split -- the dog's skull open ?	why , doctor . I did . he was a bad dog .
Walter . this compulsion of yours -- to punish transgressors . in your mind . . . what gives you the right to judge ?	God isn't there to do it .
that man , then , he was the first . the first you --	saw the world that night -- random , empty , hideous . God didn't make it that way . we did . we make the world -- in our own image . what else can I illuminate ?
had a lot of blood in him .	you oughta see upstairs . it's a slaughterhouse .
small army , from the looks of it . he put up one hell of a fight .	he would -- You might as well know . it's gonna get messy . we got a call from Washington .
Washington ?	they want in . seems our friend here was hardcore CTU .
what about our end ?	well , sir . . . in a worst-case scenario . . . we'd assume that twenty-five percent of the Russian birds get through .
what kind of time frame are we talking about ?	thirty minutes maximum . of course , I assume we'd be in the fortified command bunker at the time of the launch order .
as you can see , we may be able to salvage a good-sized chunk of the farm belt .	"what about the aftermath ? this so-called . . . "" nuclear winter "" theory ?"
we don't really know , sir , but bluntly , our survival capability . . . may depend on a quirk of the weather .	the weather . I see . keep me posted . I want hourly forecasts and a full report on optimum strike conditions .
Major Adamson , I can't seem to get in the door .	Laurie , I'll have to ask you to come with me .
why ? what's the problem ?	I can't tell you that . it is quite urgent .
I would like to use the bathroom --	the access code's been changed . your card won't work anymore .
what ? !	please .
we ’ ve been pawns in someone ’ s game . they tricked us into bringing the money to King . not just elaborate . Cock-sure .	and expensive . cost three million plus .
do we have the range of Renard ’ s plane ?	anywhere in this circle . Iran , Iraq , Pakistan , Syria , Afghanistan ...
it ’ s heading for the oil terminal .	where it can do the most damage .
any word from him ?	still no contact yet .
warm .	is it ?
so beautiful . so smooth , so warm .	how would you know ?
why are you like this ? because Bond is dead ? it ’ s what you wanted .	of course ...
he was a ... good lover ?	what do you think ?
this is the end .	no . it is the beginning . the world will never be the same .
everything ’ s under control up here . are you ready ?	yes . au revoir ...
perhaps this isn ’ t the time ...	please .
your father ...	is nothing . his kingdom he stole from my mother . the kingdom I will rightly take back .
now you know how it feels . to be locked away , to wonder if they ’ re coming for you , if anyone will ever come for you .	someone will come .
what ?	to haul some cargo . my nephew , he is Captain of a sub in the Black Sea Fleet .
no ! bond !	bond !
what is this place ?	former KGB surveillance post . the dye Factory was just a front ; now it turns a good profit .
in the good old days , the KGB had three or four spots where our submarines could surface without anyone knowing . but Yevgeny is supposed to be loading cargo .	what class sub does your nephew run ?
Valentin Zukovsky .	BondJamesBond . what brings you here ?
you , of course . I need some information .	bond , I ’ m a civilian . this is my place . used to be the royal family ’ s , now it ’ s mine . I run my little business , I stay out of trouble ...
Mafia warlords , Diplomats and spies , consortiums from every country in the world . a nice little rat ’ s nest .	have some of the rat ’ s nest caviar . from my own fishery . they buy my caviar , drink my champagne , lose to my House .
see ? you ’ re upsetting my customers . what do you want ?	how does a terrorist like Renard supply his men with state-of-the-art Russian Army weapons ?
what ? this is not possible .	if I remember my Cyrillic that says 101st airborne division .
where did you get this ?	off a high-powered Paraski that was trying to kill me .
that too . everyone does what they can to survive .	how high up does this ... arms dealing go ?
bond . if someone wants you dead , it is Renard . our government has nothing to gain by killing you .	but you would have something to gain by killing Robert King . and stopping his pipeline .
she ’ s no innocent . this is my nuclear consultant .	ah , I see . a purely ... plutonic relationship .
really Bond , couldn ’ t you find a nice Russian scientist with hair growing out of his ears ?	what ’ s your business with Elektra King ?
I thought you were the one in her business .	she dropped a million and half dollars to the House -- your House . and you didn ’ t even bat an eyelid . she was paying you off . what for ?
now ... where were we ?	a rope !
alright , alright ! sometimes I smuggle machinery for her . Russian stuff .	and the payoff on the tables ?
where ’ s the sub going ? !	no ! get me out !
this is too big for even you . where is it ?	this is a family matter ! if my nephew is in danger , we do it my way , or nothing ! now get me out !
so . my way . no MI-6 , no Interpol . just you , me and my people .	where ?
mother of God .	the right kind of explosion in the right spot -- it would block the Bosphorus , cut off the Black Sea .
how appropriate .	I ’ d heard there were some renovations there ... no one would look for a sub in that place in a million years .
I met you at my father ’ s funeral .	yes .
funerals aren ’ t exactly memorable .	God no . all those horrible loved ones and relatives . I don ’ t want to talk to those people . I just want to ... talk to my father . I loved him . I ’ m not sure he knew that .
is that why you want to finish the pipeline ?	partially , yes .
who is he ?	my bodyguard . he follows me everywhere . he ’ s decisive , vigilant . and he makes an excellent omelette .
how long has he been with you ?	since the kidnapping . why do you ask ?
does this look familiar to you ?	it ’ s my father ’ s pin . he wore it everyday of his life .
are you trying to break my heart ? or is it just your way with women ?	it ’ s not the pin your father wore . it ’ s an exact duplicate . inside is a tiny electrical detonator . we have reason to believe the assassin had an inside accomplice , someone who worked at this company .
if you ’ ve come here to look after me , Mr. Bond , thank you , but no thank you . I have two bodyguards , I don ’ t need a third ...	the killer doesn ’ t want to see this pipeline continue , doesn ’ t want to see you take over ...
that ’ s every man within a five mile radius . including you . that ’ s why you ’ re here , isn ’ t it ? you think I can ’ t do it . you think I ’ m going to screw up . or get myself killed .	I think running this pipeline would be a difficult job for anyone . especially King ’ s daughter .
I have to check the upper lines . Gabor will drive you back .	always wanted to see the upper lines .
you don ’ t take no for an answer , do you ?	no .
oh my God ... we ’ re buried alive ...	we ’ re alright .
I can ’ t stay here .	you ’ re not going to .
no ! it will cave in !	it ’ s the only way out ...
I can ’ t stay .	I know .
the way I acted , in the snow ... you must think I ’ m a coward .	I think you ’ re one of the Bravest people I ’ ve ever met .
what is it ?	... you should rest .
I have to go .	then take me with you .
no . you ’ ll be safe here .	I don ’ t want to be safe !
vodka martini .	two . shaken not stirred .
what the hell are you doing here ?	someone wants to kill me , I ’ d rather die looking him straight in the eye . what are you doing here ? looking for a woman a little more your type ? how about that one ?
if this little show is for my benefit , I ’ ll take you home right now .	you had your chance , James . now I ’ m looking for a bigger thrill .
I understand it ’ s normally good practice to get the feel of the cards before going off the deep end .	really ?
surely you believe in living dangerously .	not at that price . time to surrender .
you knew when you first saw me . you knew it would be like this .	shush .
how did you survive ?	I used my body on the guards . it gave me control . I got to a gun and I took my chance . I ’ ve never told anyone that .
what ’ s wrong with you ? are you crazy ?	a little . does it matter ? after all , what ’ s the point of living if you can ’ t feel alive ? isn ’ t that right , Elektra ? isn ’ t that your motto ?
what are you talking about ?	or did you steal it from your old friend Renard ?
... what ?	we had a run-in , he and I. He knew about us , he knew about my shoulder , he knew exactly where to hurt me ...
are you saying ... Renard is the man who ’ s trying to kill me ?	you can drop the act , it ’ s over .
I don ’ t know what you ’ re talking about !	I think you do .
how dare you ! how dare you ! that animal ! ? that monster ! ? he disgusts me ! you disgust me ! so he knew where to hurt you , is that it ? you had a sling on your arm at the funeral ! I didn ’ t have to sleep with you to find that out .	he used your exact words .
I ’ m coming with you .	you do what you have to do , but I ’ ve called in M. She ’ s en route from London even now .
I could have given you the world .	not interested .
where ’ s M ?	soon she ’ ll be everywhere .
all this , because you fell for Renard ?	five more turns and your neck will break .
since I was a child , I ’ ve always had a power over men . when I realized my father wouldn ’ t rescue me from the kidnappers , I knew I had to form a new alliance .	you turned Renard .
so you killed your father .	he killed me ! he killed me the day he refused to pay my ransom .
was this all about the oil ?	it is my oil ! mine and my family ’ s !
it runs in my veins , thicker than blood . I ’ m going to redraw the map . and when I am through the whole world will know my name , my grandfather ’ s name , the glory of my people .	no-one will believe this melt-down was an accident .
one ... last ... screw ?	oh James .
beautiful , isn ’ t it ?	yes .
today , of all days , the sun decides to shine .	perhaps Sir Robert had a word with the Man Upstairs .
a word ? I ’ m sure by now he ’ s engineered a hostile takeover .	you knew him well ?
he was my father .	I ’ m sorry .
I see my friend Davidov ran into some difficulty .	indeed .
revenge isn ’ t so hard to fathom . what ’ s clever is getting someone else to pay for it .	not many people in this world have that kind of fortune .
who is it ?	you think I fear death ? I welcome it . I get on my knees and pray for it . you , on the other hand , you have something to live for , no ? she ’ s beautiful isn ’ t she ? you should have seen her before . Flawless , and still so innocent , not such a whore in bed ...
you will never touch her . you will never get near her .	have you forgotten who saved your life in Geneva ?
consider me ungrateful .	it ’ s I who should thank you -- for taking that money back to MI-6 . so distressing for M. An explosion inside her lair .
she ’ ll get over it .	you even brought the plane for us . we really couldn ’ t have done it without you .
in case you ’ ve forgotten . I ’ m dead already .	haven ’ t you heard the news ? so is she .
not the usual Swiss procedure , Mr. Bond , but you understand , a man in my position ..	which is neutral , no doubt .
I did not get the report from an MI-6 agent .	who did you get it from ?
I am just a middle man . I am doing the honourable thing and returning the money to its rightful owner ...	and we know how difficult that can be for the Swiss .
your last chance . take the money .	your last chance . give me the name .
the name ?	I can ’ t tell you ... Alright , alright ! but you must protect me !
construction ’ s not exactly my line .	quite the opposite , in fact .
old friend ?	since Oxford . I knew him when he had nothing but a brilliant mind and enough guts to conquer the world . he ’ s a man of great integrity .
she ’ s not a girl anymore .	I ’ ve scheduled a medical for you .
it ’ s barely a scratch . the Dome broke my fall .	well , at least it turned out to have some purpose .
007 . what do you know of the Caspian Sea ?	caviar capital of the world . Matchless Beluga . firm , yet subtle . largest landlocked body of water on Earth . Oil-rich . Hitler wanted it . Stalin beat him to it .
who told you to look at Elektra ’ s files ?	I took the initiative .
I was the one who brought that money in ...	I ’ m well aware of your stake in this , 007 . if you have a point , get to it .
it ’ s a message . he wants us to know he ’ s back .	who ?
Claude Serrault . A.K.A ...	Renard .
sir Robert tried to deal with the kidnapping with his own ... resources , at first . when Elektra ’ s ear was delivered to him in the post , he came to me . I advised against paying the ransom . I knew it was Renard . I played it out as long as possible to get a fix on him .	sacrifice the girl to take out the terrorist ?
he survived ?	the doctor who saved him couldn ’ t get it out , so Renard killed him . when Interpol found the X-rays , there was mild jubilation . Effectively , he ’ s a dead man .
the bullet is moving through the medulla oblongata , killing off his sense of touch . he feels no pain . he can push himself harder , longer than any normal man .	‘ That which does not kill me makes me stronger . ’
now Robert is dead . he got his revenge .	he ’ s not through yet . Renard doesn ’ t blow up five million dollars unless he knows there ’ s more coming in . he ’ s working for someone . someone who wants to stop the pipeline . and they hired the perfect killer . one with a vendetta against King ... and you .
get out to the pipeline . find the insider who switched the pin . if your instincts are right , Renard will be back . he hasn ’ t completed the job . the pipeline is still going forward , and we have Elektra to thank for that .	the worm on the hook again .
the report King bought . it ’ s a manual . Renard ’ s men used it to remove this radio tracking device from the warhead .	then Robert was right about a Russian connection .
the inside man ?	is maybe ... the inside woman .
dislocated collar bone . if any more tendons snap ... It won ’ t just be two weeks out of action .	I need you to pass me fit now , Molly .
it ’ s just a scratch .	James . it wouldn ’ t really be ...
then maybe I ’ d be ... open to that .	perhaps after this ... test ?
... yes ? ...	I could come for a second opinion ?
you new ?	yes . Viktor Davidov , Miss ... ?
doctor . Jones . Christmas Jones . no jokes , I ’ ve heard them all .	don ’ t know any doctor jokes .
what happened to Len Tashka ?	couldn ’ t make it . splitting headache .
he is an impostor . there ’ s no Davidov at Miratom .	here ’ s your imposter . he ’ s paid off the men on the plane outside . they ’ re not taking the bomb to any Russian facility , they ’ re flying it wherever he tells them .
shame you had to spot I wasn ’ t the real thing .	so who are you ?
when this is over we should bury the hatchet . celebrate . a champagne dinner ?	when this is over our bodies may be blown to smithereens .
the plutonium is missing . they ’ ve taken the core !	then it ’ s no longer a bomb ?
what the hell were you doing ? you nearly killed us !	I did kill us . she thinks we ’ re dead . and she thinks she got away with it .
what the hell are you talking about ?	it ’ s part of some plan . she dresses it up like a terrorist attack . the explosion covers up the theft of the plutonium .
who ’ s she ?	Elektra King .
Elektra King ? are you insane ? this is her pipeline .	makes her look even more innocent .
what would she want with weapons grade plutonium ?	I was hoping you could tell me .
what is it ?	she just upped the stakes . all her chips are on the table now . and M ’ s life is part of the bet .
nuclear .	not just nuclear . powered by a nuclear reactor . he ’ s not loading any cargo . they want the sub . the sub itself . put weapons grade plutonium inside the sub ’ s reactor : instant , catastrophic meltdown .
but why ? eight million people would die , the land irradiated for a hundred years . a cloud of radiation the size of Europe ...	because an explosion like that would kill all the other pipelines . there would be only one way to get the oil out of the Caspian and pump it to the world ...
the King pipeline .	Elektra would control it all .
Zukovsky ...	if I don ’ t get to the Boa before he gets to Maiden ’ s Tower , M is dead .
is there another way ?	we go down to the torpedo bay .
he ’ s sealed himself in .	he ’ s going to insert the plutonium .
do you know what you ’ re doing ?	like riding a bike .
what kind of bikes did you ride ?	just wanted to put him on edge ...
count to twenty . when you get to twenty open the hatch . it can only be opened for a few seconds or we ’ ll sink .	but what if ...
I love Christmas in Turkey .	so isn ’ t it time you unwrapped your present ?
as for you , my galvanized friend , you want a heart ! you don't know how lucky you are not to have one . hearts will never be practical until they can be made unbreakable . I could have been a world figure , a power among men , a - a successful wizard , had I not been obstructed by a heart .	but I still want one .
stop that dog !	this is a highly irregular procedure ! this is absolutely unprecedented !
oh ! help me ! the balloon's going up !	-- ruined my exit !
help !	uh - now , please don't be angry with me . I'll - I'll do anything you say , only ... only if you don't shout at me . it makes me nervous !
it makes you nervous ?	yes .
what about us ?	well , I --
what about the heart that you promised Tin Man -- ?	well , I --
-- And the courage that you promised cowardly Lion ?	well , I --
well --	you promised us real things -- a real ...
therefore , by virtue of the authority vested in me by the Universitatus Committeeatum e plurbis unum , I hereby confer upon you the honorary degree of Th.D.	Th.D. ?
how can I ever thank you enough ?	well , you can't . as for you , my fine friend -- you're a victim of disorganized thinking . you are under the unfortunate delusion that simply because you run away from danger , you have no courage . you're confusing courage with wisdom . back where I come from , we have men who are called heroes . once a year , they take their fortitude out of mothballs and parade it down the main street of the city . and they have no more courage than you have . but ! they have one thing that you haven't got ! a medal ! therefore -- for meritorious ....
beautiful ! what an echo !	it's empty . the tinsmith forgot to give me a heart .
I'm not afraid of her . I'll see you get safely to the Wizard now , whether I get a brain or not ! stuff a mattress with me ! hah !	I'll see you reach the Wizard , whether I get a heart of not . Bee-hive -- bah ! let her try and make a bee-hive out of me ! you know -- hmm ? what's that ?
no , sir !	no , sir !
that's right .	we do .
to Oz ?	to Oz !
animals that -- that eat straw ?	some -- but mostly lions , and tigers , and bears .
I'd be gentle as a lizard --	I'd be clever as a gizzard --
then I'm sure to get a brain --	a heart --
come on -- come on --	hurry -- hurry --
oh ! oh , come on , come on !	look -- you can see it here . it's wonderful !
hey , Dorothy !	Dorothy !
oh - oh , poor Dorothy !	don't cry -- you'll rust yourself again !
oh ! we ought to try and carry Dorothy .	I don't think I could , but we could try .
let's .	yes .
oh -- now look at him ! this is terrible !	here , Tin Man -- help me .
oh , this is terrible -- can't budge her an inch ! this is a spell , this is !	it's the wicked Witch ! what'll we do ? help ! help !
did you hear that ? he'll announce us at once ! I've as good as got my brain !	I can fairly hear my heart beating !
oh , did - did you see that ?	oh - look out .
it's a whozis .	it's a whozis ?
help ! help ! help ! help ! help !	oh ! well , what happened to you ?
they tore my legs off , and they threw them over there ! then they took my chest out , and they threw it over there !	well , that's you all over .
who do you suppose they were ? and where did they take her ? a fine thing - to go to pieces at a time like this !	now , now , don't fret .
oh , dear , dear .	we'll get you together !
... to Dorothy !	oh --
oh , I hate to think of her in there . we've got to get her out .	don't cry now . we haven't got the oil-can with us and you've been squeaking enough as it is .
no , you don't .	oh , no !
Whew ! that wasn't my plan - but something happened , didn't it ?	you put up a great fight , Lion .
yeah --	I don't know what we'd have done without you .
oh - upstairs , quickly !	go on !
hey -- what about Dorothy ?	yes -- how about Dorothy ?
... junk !	Ohhhh -- yes ... yes , sir -- Y-Yes , your Honor . you see , a while back , we were walking down the Yellow brick Road , and --
quiet !	Ohhhhhh !
... of the West .	B-B-B-B-B-But if we do that , we'll have to kill her to get it !
Mr. Gale !	Howdy , Miss Gulch .
... about Dorothy .	Dorothy ? well , what has Dorothy done ?
what's she done ? I'm all but lame from the bite on my leg !	you mean she bit you ?
no , her dog !	oh , she bit her dog , eh ?
sneaking up on me , eh ? why !	here -- here . go' way and let us alone !
I haven't slept in weeks .	why don't you try counting sheep ?
not even a rhinoceros ?	Imposserous !
from now on , we're on enemy ground . you should have something to protect yourself with .	she - she can have my Witch Remover .
what's that ? what's that ? take it away - take it away - Take it away !	hold still - hold still --
it's a whatzis ?	Whozat ?
now , let' s see -- this goes -- Oh , I wish I were better at puzzles .	wait a minute . this is the left one . he walks bad enough already .
there . now , that's the best we can do without any pins .	yeah --
... I -- I -- I hope my strength holds out .	I hope your tail holds out . oh --
no ? now , wait a minute .	you don't neither --
where do we go now ?	yeah .
you don't get around us that easy !	not nohow !
comin' to think of it , forty winks wouldn't be bad .	don't you start it , too !
what if it were a brontosaurus ?	I'd show him who was King of the Fores' !
would ... would it do any good if I roared ?	who at ?
wait a minute , fellahs . I was just thinkin' . I really don't want to see the Wizard this much . I better wait for you outside .	what's the matter ?
what happened ?	somebody pulled my tail .
oh , you did it yourself !	I -- Oh --
here -- Come on .	what was that ?
they sure knocked the stuffings out of you , didn't they ?	don't stand there talking ! put me together ! we've got to find Dorothy !
I've got a plan how to get in there .	fine . he's got a plan
and you're going to lead us .	yeah . me ?
yes , you .	I -- I -- I -- I -- gotta get her outta there ?
up !	now ...
do -- do you think it'll be polite -- dropping in like this ?	stop pushing !
where -- where do we go now ?	this way ! come on !
you humbug !	yeah !
real courage . that's what we want .	you do ? boys , you're aiming low . you not only surprise , but you grieve me .
yeah .	ah --
Dorothy next !	yes . Dorothy -- ah -- DOR --
... excellence to the Miracle Wonderland Carnival Company -- until one day , while performing spectacular feats of stratospheric skill never before attempted by civilized man , an unfortunate phenomena occurred . the balloon failed to return to the fair .	it did ?
who killed my sister ? who killed the Witch of the East ? was it you ? answer me !	leave her alone !
... ting the Ruby slippers ?	the slippers -- yes ..... the slippers !
the Ruby slippers ! what have you done with them ? give them back to me , or I'll ---	it's too late ! there they ....
you stay out of this , Glinda , or I'll fix you as well !	oh , rubbish ! you have no power here . be gone , before somebody drops a house on you , too .
... don't talk .	it's pleasant down that way , too .
down ? no , you see , I'm -- Well , -- I'm --	oh , well , here -- let me help you .
... yes .	Ohhhh --
Ohh !	Whhhooops ! Ha-ha -- there goes some of me again !
oh -- does it hurt you ?	oh , no -- I just keep picking it up and putting it back in again .
Ohhh --	my , it's good to be ....
... free !	oh ! oh ! Ohhh !
did I scare you ?	no , No -- I -- I just thought you hurt yourself .
wonderful ! why , if our Scarecrow back in Kansas could do that , the crows'd be scared to pieces !	they would ?
where's Kansas ?	that's where I live . and I want to get back there so badly I'm going all the way to Emerald City to get the Wizard of Oz to help me .
you're going to see a Wizard ?	Um-hmm .
do you think if I went with you this Wizard would give me some brains ?	I couldn't say . but even if he didn't , you'd be no worse off than you are now .
yes -- that's true .	but maybe you'd better not . I've got a witch mad at me , and you might get into trouble .
witch ? huh ! I'm not afraid of a witch ! I'm not afraid of anything --- except a lighted match .	I don't blame you for that .
Hooray ! we're off to see a Wizard !	oh -- well -- you're not starting out very well .
oh , I'll try ! really , I will .	to Oz ?
oh , dear -- I keep forgetting I'm not in Kansas .	come along , Dorothy -- you don't want any of those apples . hmm !
Hooray ! I guess that did it ! help yourself .	oh --
why , it's a man ! a man made out of tin !	what ?
oil can what ?	oil can ? oh -- oh , here it is !
he said his mouth .	here -- here --
... just that the Witch is so wicked . I don't think you two ought to come with me because you'll get into trouble .	oh , you don't think we're going to stand by and let her get away with fireballs and bees , do you ?
oh , you're the best friends anybody ever had ! and it's funny , but I feel as if I've known you all the time . but I couldn't have , could I ?	I don't see how . you weren't around when I was stuffed and sewn together , were you ?
I don't like this forest ! it's -- it's dark and creepy !	of course , I don't know , but I think it'll get darker before it gets lighter .
oh , that's too bad . don't you think the Wizard could help him , too ?	I don't see why not . why don't you come along with us ? we're on our way to see the Wizard now . to get him a heart .
... along .	oh , no -- please . I have to rest for just a minute . Toto !
it does help . Dorothy , you're waking up !	oh --
yes -- there --	oh -- here quick -- oh ! - we'll oil him up .
-- A hot water bottle would be good if we had one .	oh , he's been crying ! why have you been --
dear , whatever shall we do ?	well , we'd better hurry if we're going to see the Wizard !
oh --	looks like we came a long way for nothing .
oh , come on now - everybody --	did you just hear what I just heard ?
no -- No -- No -- No !	Ohh ! OHH ! OHH !
now lookit , Dorothy , you ain't using your head about Miss Gulch . think you didn't have any brains at all .	I have so got brains .
well , why don't you use them ? when you come home , don't go by Miss Gulch's place . then Toto won't get in her garden , and you won't get in no trouble . see ?	oh , hunk , you just won't listen , that's all .
why , Zeke , -- you're just as scared as I am !	what's the matter -- gonna let a little old pig make a coward out of you ?
what -- what did you do that for ? I didn't bite him .	no , but you tried to .
it's bad enough picking on a straw man , but when you go around picking on poor little dogs --	well , you didn't have to go and hit me , did you ? is my nose bleeding ?
well , of course not . my goodness , what a fuss you're making . well , naturally , when you go around picking on things weaker than you are -- Why , you're nothing but a great big coward !	you're right -- I am a coward .
... has been simply unbearable .	oh .
a home --	the nerve .
it's beautiful , isn't it ? just like I knew it would be . he really must be a wonderful Wizard to live in a City like that !	well , come on , then . what are we waiting for ?
yes -- let's run !	yes .
oh -- unusual weather we're having , ain't it ?	look ! he's rusted again . oh , give me the oil can -- quick ! Oh-oh , quick !
ho -- ho --ho -- ho	hah !
I'll be home in time for supper !	in another hour , I'll be King of the Forest . long Live the King ! if ....
your Majesty , if you were king You wouldn't be afraid of anything ?	not nobody , not nohow !
how about a hippopotamus ?	why , I'd thrash him from top to bottomamus !
Supposin' you met an elephant ?	I'd wrap him up in cellophant !
I'd be too scared to ask him for it .	oh , well , then -- we'll ask him for you .
I'd sooner wait outside .	but why ? why ?
because I'm still scared !	oh , come on .
oh -- Oh , come on .	huh ? what'd he say ?
does it work ?	no , but it's wonderful for threatening with .
oh --	that noise don't come from no ordinary bird .
as Monarch of the Forest I don't like the situation .	are you gonna stand around And let' em fill us full of horror ?
I'd like to roar' em down -- But I think I lost my roarer .	oh -- Oh -- Oh ! Toto -- Toto !
did they hurtcha ?	lion , darling -- I knew you'd come !
they're coming back !	Ohhh !
... Ain't it the truth ! ain't it the truth !	oh -- oh -- they're all wonderful .
oh , now I'll never get home !	stay with us , then , Dorothy . we all love you . we don't want you to go .
oh , that's very kind of you -- but this could never be like Kansas . Auntie Em must have stopped wondering what happened to me by now . oh , Scarecrow , what am I going to do ?	well -- I would never've found it if it hadn't been for you .
oh , my !	lions and tigers and bears !
oh , my !	lions and tigers and bears !
oh , my !	lions and tigers and bears !
oh , my !	lions and tigers and bears !
oh , my !	oil can ..... Oil can ....
did you say something ?	oil can ....
where do you want to be oiled first ?	my mouth -- my mouth !
... m ... m ... my , my , my , my goodness -- I can talk again ! oh -- oil my arms , please -- oil my elbows .	oh ...
oh --	... Oh , did that hurt ?
no -- it feels wonderful . I've held that axe up for ages . oh ---	oh , goodness ! how did you ever get like this ?
well , you're perfect now .	my ... my neck . my ... my neck . perfect ? oh -- bang on my chest if you think I'm perfect . go ahead -- bang on it !
oh --	all hollow . oh --
oh , oh , oh , oh , oh , oh , oh , are you all right ?	I'm afraid I'm a little rusty yet .
oh , dear -- That was wonderful ! you know -- we were just wondering why you couldn't come to Emerald City with us to ask the Wizard of Oz for a heart .	Emerald City ? why , that's a long and dangerous journey . and it might rain on the way .
well , suppose the Wizard wouldn't get me one when we got there ?	oh , but he will ! he must ! we've come such a long way already .
oh , goodness ! did any of them sting you ?	I - I guess they tried to , but they bent their stingers .
oh , dear . I don't know what I'd do if a whole swarm kept -- Oh ! oh ! oh , there's one on me !	oh - I'll get it !
oh , see - I killed it . oh , I killed that poor little honey bee !	Oh-oh-
and I was standing over there rusting for the longest time .	still , I wish I could remember . but , I guess it doesn't matter anyway . we know each other now , don't we ?
we might .	oh --
and bears !	what sort of an animal is that ?
and him a brain .	I'm sure he could give you some courage .
can't that female take no for an answer ?	oh --
no . why only -- Oh --	oh ! oh , Tin Man ! oh !
oh ! something bit me , too !	now come on - you're acting silly --
Dorothy !	I knew you would !
tomorrow ? oh , but I want to go home now .	you've had plenty of time already !
ahh --- Oh , it ticks ! listen !	yes ... !
... yes .	look -- it ticks !
now I know I've got a heart --' cause it's breaking .	oh -- Goodbye , Lion . you know , I know it isn't right , but I'm going to miss the way you used to holler for help before you found your courage .
that dog's a menace to the community . I'm taking him to the sheriff and make sure he's destroyed .	destroyed ? Toto ? oh , you can't ! you mustn't ! Auntie Em ! Uncle Henry ! you won't let her , will you ?
now you're seeing reason .	no --
here's what I'm taking him in -- so he can't attack me again .	oh , no , no ! I won't let you take him ! you go away , you .... ! Oooh , I'll bite you myself !
here ! I've got an order ! let me have ...	stop her !
let's see -- you're -- you're travelling in disguise . no , that's not right . I -- you're -- you're going on a visit . no , I'm wrong . that's ... You're -- running away .	how did you guess ?
Professor marvel never guesses -- he knows ! now , why are you running away ?	why --
no , no -- now don't tell me . they -- they don't understand you at home . they don't appreciate you . you want to see other lands -- big cities -- big mountains -- big oceans --	why , it's just like you could read what was inside of me .
yes --	please , Professor , why can't we go along with you ?
oh , yes - you - you wanted to go home , huh ?	oh , no , I wanted to go along with you .
oh --	nobody cares about me at home . they wouldn't even miss me .
aw , come , come , come --	no , they won't - honestly .
oh --	Auntie Em was even going to let them kill Toto yesterday for biting Miss Gulch . oh , please , Professor , why can't we go with you and see all the crowned Heads of Europe ?
that's our farm !	oh -- yes .
... her face is careworn .	yes ... That's Aunt Em .
her -- her name is Emily .	that's right . what's she doing ?
well , I -- I can't quite see . why , she's crying .	oh --
someone has hurt her -- someone has just about broken her heart .	me ?
Uh-huh .	what's she doing now ?
... room --	has it poppies on the wall ....
... paper ?	I said it had poppies on the wall paper ! eh -- she's -- What's this ? why , she's -- she's putting her hand on her heart -- she's -- she's dropping down on the ....
... bed .	oh , no -- no !
but -- what's this ? I thought you were going along with me .	oh , no , no , I have to get to her right ....
oh --	but you couldn't have been , could you ?
are you a good witch , or a bad witch ?	who , me ? why , I'm not a witch at all . I'm Dorothy Gale from Kansas .
Toto's my dog .	well , I'm a little muddled . the Munchkins called me because a new witch has just dropped a house on the wicked Witch of the East . and there's the house , and here you are , and that's all ...
the Munchkins are happy because you have freed them from the wicked Witch of the East .	oh . but , if you please -- what are Munchkins ?
the little people who live in this land -- it's Munchkinland , and you are their national heroine , my dear . it's all right -- you may all come out and thank her . it's all right now - you may all come out .	I thought you said she was dead .
oh , I'd give anything to get out of Oz altogether -- but which is the way back to Kansas ? I can't go the way I came .	no -- that's true . the only person who might know would be the great and wonderful Wizard of Oz himself !
oh , very good , but very mysterious . he lives in the Emerald City , and that's a long journey from here . did you bring your broomstick with you ?	no , I'm afraid I didn't .
well , then , you'll have to walk . the Munchkins will see you safely to the border of Munchkinland . and remember , never let those Ruby slippers off your feet for a moment , or you will be at the mercy of the wicked Witch of the West .	but , how do I start for Emerald City ?
oh , will you help me ? can you help me ?	you don't need to be helped any longer . you've always had the power to go back to Kansas .
oh , now ?	whenever you wish .
are you ready now ?	yes . say goodbye , Toto .
